,Artist,Rank,Song Title,Year
176,Roberta Flack & Donny Hathaway,56,Where Is The Love,1972
177,T. Rex,57,Bang A Gong (Get It On),1972
178,Paul Simon,58,Mother And Child Reunion,1972
179,Al Green,59,I'm Still In Love With You,1972
180,Derek & The Dominos,60,Layla,1972
181,Aretha Franklin,61,Day Dreaming,1972
182,Three Dog Night,63,Black And White,1972
183,Carpenters,65,Hurting Each Other,1972
184,Nilsson,66,Coconut,1972
185,Beverly Bremers,67,Don't Say You Don't Remember,1972
186,Donny Osmond,68,Puppy Love,1972
187,Jim Croce,69,You Don't Mess Around With Jim,1972
188,Commander Cody & His Lost Planet Airmen,70,Hot Rod Lincoln,1972
189,Apollo 100,72,Joy,1972
190,Carly Simon,73,Anticipation,1972
191,Three Dog Night,74,Never Been To Spain,1972
192,Alice Cooper,76,School's Out,1972
193,Chicago,77,Saturday In The Park,1972
194,Joe Simon,78,Drowning In The Sea Of Love,1972
195,Bill Withers,79,Use Me,1972
196,Sly & The Family Stone,80,Family Affair,1972
197,Joe Simon,84,Power Of Love,1972
198,Jerry Butler & Brenda Lee Eager,85,Ain't Understanding Mellow,1972
199,Harry Chapin,86,Taxi,1972
200,Bobby Vinton,87,Sealed With A Kiss,1972
201,Todd Rundgren,88,I SAW THE LIGHT,1972
202,Sailcat,89,Motorcycle Mama,1972
203,Godspell,90,Day By Day,1972
204,Yes,91,Roundabout,1972
205,Jackson Browne,92,Doctor My Eyes,1972
206,Detroit Emeralds,95,Baby Let Me Take You (In My Arms),1972
207,Rick Springfield,96,Speak To The Sky,1972
208,Jim Croce,2,"Bad, Bad Leroy Brown",1973
209,Roberta Flack,3,Killing Me Softly With His Song,1973
210,Marvin Gaye,4,Let's Get It On,1973
211,Elton John,7,Crocodile Rock,1973
212,Billy Preston,8,Will It Go Round In Circles,1973
213,Carly Simon,9,You're So Vain,1973
214,Diana Ross,10,Touch Me In The Morning,1973
215,Vicki Lawrence,11,The Night The Lights Went Out In Georgia,1973
216,Clint Holmes,12,Playground In My Mind,1973
217,Helen Reddy,14,Delta Dawn,1973
218,Edgar Winter Group,16,Frankenstein,1973
219,The Sweet,18,Little Willy,1973
220,Stevie Wonder,19,You Are The Sunshine Of My Life,1973
221,Cher,20,Half Breed,1973
222,The Isley Brothers,21,That Lady,1973
223,Grand Funk Railroad,23,We're An American Band,1973
224,Dr. John,24,"Right Place, Wrong Time",1973
225,Skylark,25,Wildflower,1973
226,Stevie Wonder,26,Superstition,1973
227,Maureen McGovern,28,The Morning After,1973
228,John Denver,29,Rocky Mountain High,1973
229,Stealers Wheel,30,Stuck In The Middle With You,1973
230,Three Dog Night,31,Shambala,1973
231,The O'Jays,32,Love Train,1973
232,Eddie Kendricks,35,Keep On Truckin',1973
233,Anne Murray,36,Danny's Song,1973
234,King Harvest,37,Dancing In The Moonlight,1973
235,Bloodstone,39,Natural High,1973
236,Seals & Crofts,40,Diamond Girl,1973
237,The Doobie Brothers,41,Long Train Running,1973
238,George Harrison,42,Give Me Love (Give Me Peace On Earth),1973
239,Sly & The Family Stone,43,If You Want Me To Stay,1973
240,Jermaine Jackson,44,Daddy's Home,1973
241,Gladys Knight And The Pips,45,Neither One Of Us (Wants To Be The First To Say Goodbye),1973
242,New York City,46,I'm Doing Fine Now,1973
243,Spinners,47,Could It Be I'm Falling In Love,1973
244,Elton John,48,Daniel,1973
245,Gladys Knight And The Pips,49,Midnight Train To Georgia,1973
246,Deep Purple,50,Smoke On The Water,1973
247,Charlie Rich,52,Behind Closed Doors,1973
248,Loggins & Messina,53,Your Mama Don't Dance,1973
249,Chicago,54,Feelin' Stronger Every Day,1973
250,War,55,Cisco Kid,1973
251,Wings,56,Live And Let Die,1973
252,Johnnie Taylor,58,I Believe In You,1973
253,Carpenters,59,Sing,1973
254,Eric Weissberg & Steve Mandell,61,Dueling Banjos,1973
255,Stevie Wonder,62,Higher Ground,1973
256,Al Green,63,Here I Am (Come And Take Me),1973
257,Curtis Mayfield,65,Superfly,1973
258,Edward Bear,66,Last Song,1973
259,Gilbert O'Sullivan,67,Get Down,1973
260,Steely Dan,68,Reelin' In The Years,1973
261,Focus,69,Hocus Pocus,1973
262,Carpenters,70,Yesterday Once More,1973
263,Bette Midler,71,Boogie Woogie Bugle Boy,1973
264,Gilbert O'Sullivan,72,Clair,1973
265,Steely Dan,73,Do It Again,1973
266,Paul Simon,74,Kodachrome,1973
267,Timmy Thomas,75,Why Can't We Live Together,1973
268,Tower Of Power,77,So Very Hard To Go,1973
269,The Temptations,80,Masterpiece,1973
270,Helen Reddy,81,Peaceful,1973
271,Spinners,82,One Of A Kind (Love Affair),1973
272,Donna Fargo,83,Funny Face,1973
273,Ohio Players,84,Funky Worm,1973
274,The Rolling Stones,85,ANGIE,1973
275,Lobo,87,Don't Expect Me To Be Your Friend,1973
276,The Stylistics,88,Break Up To Make Up,1973
277,Jud Strunk,89,Daisy A Day,1973
278,Deodato,90,Also Sprach Zarathustra (2001),1973
279,Johnny Nash,91,Stir It Up,1973
280,Pink Floyd,92,Money,1973
281,War,93,Gypsy Man,1973
282,War,94,The World Is A Ghetto,1973
283,The Pointer Sisters,95,Yes We Can Can,1973
284,Edgar Winter Group,96,FREE RIDE,1973
285,David Bowie,97,Space Oddity,1973
286,Albert Hammond,98,It Never Rains In Southern California,1973
287,Donny Osmond,99,The Twelfth Of Never,1973
288,Barbra Streisand,1,The Way We Were,1974
289,Terry Jacks,2,Seasons In The Sun,1974
290,Love Unlimited Orchestra,3,Love's Theme,1974
291,Redbone,4,Come And Get Your Love,1974
292,Jackson 5,5,Dancing Machine,1974
293,MFSB,7,Tsop,1974
294,Ray Stevens,8,The Streak,1974
295,Elton John,9,Bennie And The Jets,1974
296,Mac Davis,10,One Hell Of A Woman,1974
297,Aretha Franklin,11,Until You Come Back To Me (That's What I'm Gonna Do),1974
298,Kool & The Gang,12,Jungle Boogie,1974
299,Maria Muldaur,13,Midnight At The Oasis,1974
300,The Stylistics,14,You Make Me Feel Brand New,1974
301,Al Wilson,15,Show And Tell,1974
302,David Essex,17,Rock On,1974
303,John Denver,18,Sunshine On My Shoulders,1974
304,Blue Swede,20,Hooked On A Feeling,1974
305,Paul McCartney And Wings,22,Band On The Run,1974
306,Charlie Rich,23,The Most Beautiful Girl,1974
307,Jim Croce,24,Time In A Bottle,1974
308,John Denver,25,Annie's Song,1974
309,Olivia Newton-John,27,Let Me Be There,1974
310,Gordon Lightfoot,28,Sundown,1974
311,Andy Kim,29,Rock Me Gently,1974
312,Eddie Kendricks,30,Boogie Down,1974
313,Ringo Starr,31,You're Sixteen,1974
314,Olivia Newton-John,32,If You Love Me (let Me Know),1974
315,Cher,33,Dark Lady,1974
316,Roberta Flack,35,Feel Like Makin' Love,1974
317,The Main Ingredient,36,Just Don't Want To Be Lonely,1974
318,Billy Preston,37,Nothing From Nothing,1974
