,Artist,Rank,Song Title,Year
265,Bonnie Tyler,6,Total Eclipse Of The Heart,1983
266,Michael Sembello,9,Maniac,1983
267,Eurythmics,10,Sweet Dreams (Are Made Of This),1983
268,Culture Club,11,Do You Really Want To Hurt Me,1983
269,Eddie Rabbitt With Crystal Gayle,12,You And I,1983
270,Bob Seger & The Silver Bullet Band,14,Shame On The Moon,1983
271,Donna Summer,15,She Works Hard For The Money,1983
272,Sergio Mendes,16,Never Gonna Let You Go,1983
273,Duran Duran,17,Hungry Like The Wolf,1983
274,David Bowie,18,Let's Dance,1983
275,Golden Earring,19,Twilight Zone,1983
276,Frida,20,I Know There's Something Going On,1983
277,Eddy Grant,22,Electric Avenue,1983
278,Thomas Dolby,23,She Blinded Me With Science,1983
279,Toto,24,Africa,1983
280,Prince,25,Little Red Corvette,1983
281,Styx,28,Mr. Roboto,1983
282,Lionel Richie,29,You Are,1983
283,Taco,31,Puttin' On The Ritz,1983
284,Marvin Gaye,32,Sexual Healing,1983
285,The Human League,33,(Keep Feeling) Fascination,1983
286,Men Without Hats,35,The Safety Dance,1983
287,Toni Basil,36,Mickey,1983
288,Phil Collins,37,You Can't Hurry Love,1983
289,Journey,38,Separate Ways,1983
290,Prince,41,1999,1983
291,Stray Cats,42,Stray Cat Strut,1983
292,Billy Joel,43,Allentown,1983
293,Stevie Nicks,44,Stand Back,1983
294,Billy Joel,45,Tell Her About It,1983
295,Naked Eyes,46,Always Something There To Remind Me,1983
296,Lionel Richie,47,Truly,1983
297,Don Henley,48,DIRTY LAUNDRY,1983
298,Kajagoogoo,50,Too Shy,1983
299,Adam Ant,51,Goody Two Shoes,1983
300,The Clash,52,Rock The Casbah,1983
301,Madness,53,OUR HOUSE,1983
302,Men At Work,54,Overkill,1983
303,Duran Duran,55,Is There Something I Should Know,1983
304,Laura Branigan,56,Gloria,1983
305,Rick Springfield,57,Affair Of The Heart,1983
306,The Tubes,58,She's A Beauty,1983
307,Laura Branigan,59,Solitaire,1983
308,Styx,60,Don't Let It End,1983
309,Laura Branigan,61,HOW AM I SUPPOSED TO LIVE WITHOUT YOU,1983
310,David Bowie,62,China Girl,1983
311,The Kinks,63,Come Dancing,1983
312,Naked Eyes,64,"Promises, Promises",1983
313,Little River Band,65,The Other Guy,1983
